"id_producto","nombre_producto","descripcion_producto","pecio","stock"
"1","Laptop","Laptop portatil de 15 pulgadas con procesador Intel i5","799.99","50"
"2","Mouse inalambrico","Mouse inalambrico ergonomico con conexion USB","25.5","200"
"3","Teclado","Teclado mecanico retroiluminado para gamers","69.99","120"
"4","Monitor 24\"","Monitor LED 24 pulgadas Full HD","159.99","80"
"5","Impresora laser","Impresora laser monocromatica con wifi","129.99","60"
"6","Auriculares","Auriculares con cancelacion de ruido Bluetooth","99.99","150"
"7","Camara web HD","Camara web HD con enfoque automatico y microfono","49.99","100"
"8","Disco duro externo","Disco duro de 1TB, USB 3.0","59.99","200"
"9","Smartphone","Smartphone Android 128GB, camara 48MP","499.99","30"
"10","Tablet 10\"","Tablet Android de 10 pulgadas, 64GB","229.99","40"
"11","Estabilizador","Estabilizador de energia con salida de 1000W","89.99","25"
"12","Power Bank","Power bank 10,000 mAh con salida USB-C","19.99","300"
"13","Silla ergonomica","Silla ergonomica para oficina con reposabrazos","120","50"
"14","Lampara LED","Lampara LED regulable con puerto USB","35.99","100"
"15","Webcam 4K","Camara web 4K para videollamadas y streaming","129.99","40"
"16","Router WiFi","Router WiFi de doble banda con tecnologia AC1200","69.99","150"
"17","Altavoces Bluetooth","Altavoces Bluetooth portatiles con sonido 360","59.99","180"
"18","Raton para juegos","Raton para juegos con 7 botones y RGB","45.99","130"
"19","Adaptador HDMI","Adaptador HDMI a VGA para proyectores","15.99","200"
"20","Hub USB","Hub USB 3.0 de 4 puertos","12.99","250"
"21","Impresora 3D","Impresora 3D de filamento PLA","499","30"
"22","Linterna LED","Linterna LED recargable con 3 modos de luz","18.99","100"
"23","Webcam Full HD","Camara web Full HD con microfono y enfoque manual","39.99","150"
"24","Teclado inalambrico","Teclado inalambrico compacto con Bluetooth","29.99","180"
"25","Camara de seguridad","Camara de seguridad WiFi con vision nocturna","79.99","70"
"26","Pila recargable","Pila recargable AA de 2500 mAh (paquete de 4)","12.99","500"
"27","Casco VR","Casco de realidad virtual compatible con PC y consolas","199.99","50"
"28","Impresora fotografica","Impresora fotografica portatil para movil","79.99","90"
"29","Ventilador USB","Ventilador USB portatil de 4 velocidades","15.99","250"
"30","Cargador solar","Cargador solar portatil para dispositivos moviles","24.99","200"
"31","Laptop","Laptop de 15 pulgadas","500","20"
"31","Laptop","Laptop de 15 pulgadas","500","20"
"31","Laptop","Laptop de 15 pulgadas","500","20"
"31","Laptop","Laptop de 15 pulgadas","500","20"
